value,overlap_file_count,tag_assignment_count,attribution_assignment_count,section_count,sections
Non-Jurors’ Prayer Book,1,1,1,1,parish-year
Nonjurors’ Prayer Book,1,1,1,1,parish-devotional
Office of Compline,1,1,1,1,parish-year
Olive Warner,1,1,1,1,parish-intercessory
Order of Compline,1,1,1,1,parish-devotional
Oxford Diocesan Service Book,1,1,1,1,parish-year
Pakenham Walsh,1,1,1,1,parish-occasions
"Peace Prayers, 1946",1,1,1,1,parish-intercessory
Prayer of the Order,1,1,1,1,parish-year
Prayer of the Order of the Garter,1,1,1,1,parish-intercessory
"Prayers for Education Sunday, 1957",1,1,1,1,parish-occasions
Praying for the Church Overseas,1,1,1,1,parish-intercessory
Praying for Unity,1,1,1,1,parish-occasions
Priest’s Book of Private Devotion,1,1,1,1,parish-sacraments
Priest’s Prayer Book,1,1,1,1,parish-intercessory
"Psalms 104:24; 145:15, 16, 21",1,1,1,1,parish-occasions
R. Ambrose Reeves,1,1,1,1,parish-intercessory
R. W. Stewart,1,1,1,1,parish-occasions
Randall T. Davidson,1,1,1,1,parish-intercessory
"Revelation 1:5, 6",1,1,1,1,parish-devotional
Revelation 4:11; 5:13,1,1,1,1,parish-year
Richard of Chichester,1,1,1,1,acna2019
Robert N. Rodenmeyer,1,1,1,1,parish-intercessory
Robert Nelson,1,1,1,1,parish-year
Roman Breviary,1,1,1,1,parish-devotional
Roman Missal,1,1,1,1,parish-supplementary
Russian Contakion of the Departed,1,1,1,1,parish-occasions
Rydal School Hymnal,1,1,1,1,parish-year
S. P. T. Prideaux,1,1,1,1,parish-intercessory
Samuel Johnson,1,2,1,2,parish-devotional;parish-sacraments
Sarum Breviary,1,1,1,1,parish-year
Sarum Missal,1,1,1,1,parish-year
Service Book for the Young,1,1,1,1,parish-occasions
"St. Aldate’s Church, Oxford",1,1,1,1,parish-occasions
St. Benedict,1,1,1,1,parish-devotional
St. Patrick’s Breastplate,1,1,1,1,parish-devotional
St. Paul’s Cathedral,1,1,1,1,parish-intercessory
St. Richard of Chichester,1,1,1,1,parish-year
St. Thomas Aquinas,1,1,1,1,parish-devotional
Student Christian Movement,1,1,1,1,parish-intercessory
Student Prayer,1,3,1,2,parish-intercessory;parish-year
