raw_value,assignment_count,file_count,canonical_value,action,notes
"Knox’s Book of Common Order, 1564",1,1,"Knox’s Book of Common Order, 1564",keep,
L. Tuttiet,1,1,L. Tuttiet,keep,
"Lambeth Conference, 1930",1,1,"Lambeth Conference, 1930",keep,
"Lambeth Conference, 1958",1,1,"Lambeth Conference, 1958",keep,
Laurence Binyon,1,1,Laurence Binyon,keep,
"Leaflet of the Collegium, 1914",1,1,"Leaflet of the Collegium, 1914",keep,
Leonine Sacramentary*,1,1,Leonine Sacramentary*,keep,
Lionel James,1,1,Lionel James,keep,
Liturgy of St. Basil,1,1,Liturgy of St. Basil,keep,
Liturgy of St. Dionysius,1,1,Liturgy of St. Dionysius,keep,
Liturgy of St. Mark,1,1,Liturgy of St. Mark,keep,
Liturgy of the Reformed Church of France,1,1,Liturgy of the Reformed Church of France,keep,
Luke 2:15; Isaiah 9:6,1,1,Luke 2:15; Isaiah 9:6,keep,
M. A. P. Wood (after St. Augustine),1,1,M. A. P. Wood (after St. Augustine),keep,
Macrina the Younger,1,1,Macrina the Younger,keep,
Mandell Creighton,1,1,Mandell Creighton,keep,
Miles Coverdale,1,1,Miles Coverdale,keep,
Mozarabic Liturgy,1,1,Mozarabic Liturgy,keep,
Nicholas Ridley,1,1,Nicholas Ridley,keep,
Non-Jurors’ Prayer Book,1,1,Non-Jurors’ Prayer Book,keep,
Nonjurors’ Prayer Book,1,1,Nonjurors’ Prayer Book,keep,
Office of Compline,1,1,Office of Compline,keep,
Old Galilean*,1,1,Old Galilean*,keep,
Olive Warner,1,1,Olive Warner,keep,
Order of Compline,1,1,Order of Compline,keep,
Oxford Diocesan Service Book,1,1,Oxford Diocesan Service Book,keep,
Pakenham Walsh,1,1,Pakenham Walsh,keep,
"Peace Prayers, 1946",1,1,"Peace Prayers, 1946",keep,
Percy Dearmer*,1,1,Percy Dearmer*,keep,
Peter Green*,1,1,Peter Green*,keep,
Prayer of the Order,1,1,Prayer of the Order,keep,
Prayer of the Order of the Garter,1,1,Prayer of the Order of the Garter,keep,
"Prayers for Education Sunday, 1957",1,1,"Prayers for Education Sunday, 1957",keep,
Praying for the Church Overseas,1,1,Praying for the Church Overseas,keep,
Praying for Unity,1,1,Praying for Unity,keep,
Priest’s Book of Private Devotion,1,1,Priest’s Book of Private Devotion,keep,
Priest’s Prayer Book,1,1,Priest’s Prayer Book,keep,
"Psalms 104:24; 145:15, 16, 21",1,1,"Psalms 104:24; 145:15, 16, 21",keep,
R. Ambrose Reeves,1,1,R. Ambrose Reeves,keep,
R. W. Stewart,1,1,R. W. Stewart,keep,
Randall T. Davidson,1,1,Randall T. Davidson,keep,
"Revelation 1:5, 6",1,1,"Revelation 1:5, 6",keep,
Revelation 4:11; 5:13,1,1,Revelation 4:11; 5:13,keep,
Richard Baxter*,1,1,Richard Baxter*,keep,
Richard of Chichester,1,1,Richard of Chichester,keep,
Robert N. Rodenmeyer,1,1,Robert N. Rodenmeyer,keep,
Robert Nelson,1,1,Robert Nelson,keep,
Roman Breviary,1,1,Roman Breviary,keep,
Roman Missal,1,1,Roman Missal,keep,
Russian Contakion of the Departed,1,1,Russian Contakion of the Departed,keep,
Rydal School Hymnal,1,1,Rydal School Hymnal,keep,
S. Gladstone*,1,1,S. Gladstone*,keep,
S. P. T. Prideaux,1,1,S. P. T. Prideaux,keep,
Samuel Johnson,1,1,Samuel Johnson,keep,
Samuel Johnson*,1,1,Samuel Johnson*,keep,
Sarum Breviary,1,1,Sarum Breviary,keep,
Sarum Missal,1,1,Sarum Missal,keep,
School Prayers*,1,1,School Prayers*,keep,
Service Book for the Young,1,1,Service Book for the Young,keep,
"St. Aldate’s Church, Oxford",1,1,"St. Aldate’s Church, Oxford",keep,
St. Benedict,1,1,St. Benedict,keep,
St. Hilary of Poitiers*,1,1,St. Hilary of Poitiers*,keep,
St. Patrick’s Breastplate,1,1,St. Patrick’s Breastplate,keep,
St. Paul’s Cathedral,1,1,St. Paul’s Cathedral,keep,
St. Richard of Chichester,1,1,St. Richard of Chichester,keep,
St. Thomas Aquinas,1,1,St. Thomas Aquinas,keep,
Student Christian Movement,1,1,Student Christian Movement,keep,
Student Prayer,1,1,Student Prayer,keep,
Suzanne de Dietrich,1,1,Suzanne de Dietrich,keep,
Te Deum,1,1,Te Deum,keep,
The Boys’ Prayer Book,1,1,The Boys’ Prayer Book,keep,
The C.M.S. Prayer adapted,1,1,The C.M.S. Prayer adapted,keep,
The Earl of Meath*,1,1,The Earl of Meath*,keep,
"The Missionary Conference, 1894",1,1,"The Missionary Conference, 1894",keep,
"The Missionary Conference, 1894*",1,1,"The Missionary Conference, 1894*",keep,
The Narrow Way,1,1,The Narrow Way,keep,
The Prayer Manual,1,1,The Prayer Manual,keep,
The Royal Maundy,1,1,The Royal Maundy,keep,
The Splendour of God,1,1,The Splendour of God,keep,
The Splendour of God*,1,1,The Splendour of God*,keep,
The Unfolding Year,1,1,The Unfolding Year,keep,
Thomas Aquinas,1,1,Thomas Aquinas,keep,
Thomas Becon,1,1,Thomas Becon,keep,
