raw_tag,assignment_count,current_action,current_facet,extreme_action,extreme_tag,reason,confidence
St. Anselm,2,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
St. Francis of Assisi,2,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
St. Ignatius Loyola,2,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Sursum Corda,2,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Thanksgivings for Family and Personal Life,2,keep,prayer_type,map,Family and Personal Life,token_overlap_map,medium
Thanksgivings for National Life,2,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
Thanksgivings for the Church,2,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
Thanksgivings for the Natural Order,2,keep,prayer_type,drop,,not_in_extreme_canonical_set,medium
The Baptism of Jesus,2,keep,topic,drop,,not_in_extreme_canonical_set,medium
"The Missionary Conference, 1894",2,keep,life_or_church_context,drop,,not_in_extreme_canonical_set,medium
The Splendour of God,2,keep,topic,drop,,not_in_extreme_canonical_set,medium
Thomas à Kempis,2,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
William Bellars,2,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
1 Peter 5:10–11,1,keep,topic,drop,,not_in_extreme_canonical_set,medium
"A Form of Prayer, March 1941",1,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
"A Form of Prayer, October 1939",1,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
A Harvest of Myrrh and Spices (trs. W. H. Draper),1,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
A Prayer of the Eastern Church,1,merge,source_text,drop,,non_topical_provenance_or_alias,high
A. S. T. Fisher,1,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
A.C.C.M.,1,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Acts of Devotion,1,move_to_attribution,attribution_author,drop,,non_topical_provenance_or_alias,high
Adapted from a 16th c. German prayer,1,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Adapted from A Book of Guide Prayers,1,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Adapted from A Diocesan Service Book,1,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Adapted from a prayer at the London Hospital,1,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Adapted from a prayer for the General Synod in the Irish Prayer Book,1,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Adapted from a prayer of A. E. Daldy,1,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Adapted from a prayer of S.P.C.K.,1,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Adapted from a prayer of St. Thomas Aquinas,1,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Adapted from an ancient collect,1,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Adapted from Book of Common Order,1,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Adapted from Didache,1,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Adapted from George Appleton,1,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Adapted from John Donne,1,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Adapted from Lancelot Andrewes (Daily Prayer),1,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Adapted from Liturgy of St. James,1,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Adapted from Micah 6:8,1,move_to_citation,citation_scripture,drop,,non_topical_provenance_or_alias,high
Adapted from Mozarabic Sacramentary,1,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Adapted from Prayers for the Christian Year,1,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Adapted from Roman Breviary,1,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
Adapted from Sarum Missal,1,move_to_source,source_text,drop,,non_topical_provenance_or_alias,high
